#name 	 time 	 x 	 y 	 z 	 vx 	 vy 	 vz 
0 0.00000 999.48350 -674.18025 -434.76439 2.23601 -1.34172 -0.07513
1 0.00000 914.95391 488.61069 80.08732 1.19976 1.29972 0.79318
2 0.00000 -368.72476 608.80603 39.34423 -1.65714 -0.12235 -0.53843
3 0.00000 -556.66463 -573.61908 -939.32959 -0.83230 -1.52926 2.21858
4 0.00000 159.86335 796.60972 331.12786 -0.00695 0.30314 -1.58858
5 0.00000 -406.94894 -765.18213 -874.16467 0.74063 1.12709 0.68566
6 0.00000 427.77012 -800.84751 398.53439 -1.96094 -1.85379 0.01202
7 0.00000 -584.44019 -422.17939 -833.65041 -1.85938 0.23686 -2.08840
8 0.00000 -415.71715 783.24747 -545.76432 -0.34077 -1.79633 -0.49804
9 0.00000 373.89380 -658.65818 -118.35826 -2.27332 -0.94352 0.03091
10 0.00000 -635.17832 22.06403 481.57641 -0.67006 -1.69596 -0.19947
11 0.00000 255.67294 355.20738 396.39305 -0.10732 -2.04946 -0.80636
12 0.00000 -809.57241 -126.91607 -50.65330 -0.40377 1.38768 0.62305
13 0.00000 960.87310 -259.13960 661.62527 -1.79597 1.22043 1.64870
14 0.00000 -217.79136 243.91278 -306.60104 -2.26915 0.56533 0.33687
15 0.00000 -2.21195 447.60416 -710.89895 -2.28848 -0.94606 -1.89179
16 0.00000 -515.86066 -237.88229 -119.74293 0.49898 0.72287 -0.33687
17 0.00000 111.93652 433.68234 284.72503 0.92888 -2.01921 -1.88533
18 0.00000 -886.00517 640.14409 -748.92143 -0.92127 -1.59717 -1.78886
19 0.00000 328.85923 370.37845 -617.99613 -0.31828 2.32230 1.84082
20 0.00000 -738.24007 -31.11544 -250.69110 2.00238 -1.60672 0.89818
21 0.00000 245.74862 967.31190 -118.57044 1.52369 2.47423 0.20775
22 0.00000 -488.18909 277.89127 151.82054 -1.20639 -1.54203 -0.27168
23 0.00000 -701.46698 993.44738 -756.47556 0.75770 -2.36102 -0.55011
24 0.00000 655.82609 -432.37219 220.40729 -1.31794 -0.44589 0.88857
25 0.00000 694.25318 298.51246 -837.23470 -1.89585 -0.10400 1.38939
26 0.00000 -56.04460 886.67502 961.60198 -0.82723 -1.48666 -0.78579
27 0.00000 307.08849 365.51759 219.87228 -2.00036 1.33127 1.17791
28 0.00000 -517.72172 -473.64258 921.73980 -0.38302 -0.81971 -2.49875
29 0.00000 737.68203 -992.49370 -668.30738 -2.44090 0.53228 1.14986
30 0.00000 227.64911 931.53637 -5.80348 0.14943 -0.19196 1.06517
